W1	W2	P1	P2	Liaison	Nasalization	Linking consonant	Phonetic realization	Frequency	SSF1	SSF2
un	bébé	DET	NC	FALSE	FALSE		ɛ̃bebe	2	DET{Ind}	N{Baby.g=M num=SG}*
autre	banque	ADJ	NC	FALSE	FALSE		otʁbɑ̃k	2	ADJ{Other}	N{Bank.g=F num=SG}*
des	ours	DET	NC	TRUE	FALSE	z	dezuʁs	1	DET{Ind}	N{Bear.g=M num=PL}*
pauvre	bête	ADJ	N	FALSE	FALSE		povʁbɛt	3	ADJ{Poor}	N{Beast.g=F num=SG}*
les	débuts	DET	NC	FALSE	FALSE		ledeby	2	DET{The}	N{Beginning.g=M num=SG}*
des	bicyclettes	DET	NC	FALSE	FALSE		debisiklɛt	2	DET{Ind}	N{Bike.g=F num=PL}*
un	bac	DET	NC	FALSE	FALSE		ɛ̃bak	2	DET{Ind}	N{Bin.g=M num=SG}*
des	oiseaux	DET	NC	TRUE	FALSE	z	dezwazo	1	DET{Ind}	N{Bird.g=M num=PL}*
les	oiseaux	DET	NC	TRUE	FALSE	z	lezwazo	2	DET{The}	N{Bird.g=M num=PL}*
ses	oiseaux	DET	NC	TRUE	FALSE	z	sezwazo	1	DET{His}	N{Bird.g=M num=PL}*
seul	coup	ADJ	N	FALSE	FALSE		sœlku	2	ADJ{Only}	N{Blow.g=M num=SG}*
des	livres	DET	NC	FALSE	FALSE		delivʁ	2	DET{Ind}	N{Book.g=M num=SG}*
les	bords	DET	NC	FALSE	FALSE		lebɔʁ	20	DET{The}	N{Border.g=M num=PL}*
un	fond	DET	NC	FALSE	FALSE		ɛ̃fɔ̃	2	DET{Ind}	N{Bottom.g=M num=SG}*
une	bouloire	DET	NC	FALSE	FALSE		ynbulwaʁ	2	DET{Ind}	N{Bouloire.g=F num=SG}*
autre	boite	ADJ	NC	FALSE	FALSE		otʁbwat	2	ADJ{Other}	N{Box.g=F num=SG}*
les	garçons	DET	NC	FALSE	FALSE		leɡaʁsɔ̃	3	DET{The}	N{Boy.g=M num=PL}*
pauvre	garçon	ADJ	N	FALSE	FALSE		povʁɡaʁsɔ̃	2	ADJ{Poor}	N{Boy.g=M num=SG}*
quinze	ponts	NUM	NC	FALSE	FALSE		kɛ̃zpɔ̃	2	NUM{Fifteen}	N{Bridge.g=M num=PL}*
le	pont	DET	NC	FALSE	FALSE		ləpɔ̃	7	DET{The}	N{Bridge.g=M num=SG}*
mon	frère	DET	NC	FALSE	FALSE		mɔ̃fʁɛʁ	4	DET{My}	N{Brother.g=M num=SG}*
un	frère	DET	NC	FALSE	FALSE		ɛ̃fʁɛʁ	2	DET{Ind}	N{Brother.g=M num=SG}*
des	immeubles	DET	NC	TRUE	FALSE	z	dezimœbl	2	DET{Ind}	N{Building.g=M num=PL}*
les	immeubles	DET	NC	TRUE	FALSE	z	lezimœbl	1	DET{The}	N{Building.g=M num=PL}*
des	choux	DET	NC	FALSE	FALSE		deʃu	2	DET{Ind}	N{Cabbage.g=M num=PL}*
un	chou	DET	NC	FALSE	FALSE		ɛ̃ʃu	2	DET{Ind}	N{Cabbage.g=M num=SG}*
la	cabriolet	DET	NC	FALSE	FALSE		lakabʁijɔlɛ	2	DET{The}	N{Cabriolet.g=F num=SG}*
des	voitures	DET	NC	FALSE	FALSE		devwatyʁ	2	DET{Ind}	N{Car.g=F num=PL}*
une	voiture	DET	NC	FALSE	FALSE		ynvwatyʁ	3	DET{Ind}	N{Car.g=F num=SG}*
une	carte	DET	NC	FALSE	FALSE		ynkaʁt	3	DET{Ind}	N{Card.g=F num=SG}*
les	carpettes	DET	NPP	FALSE	FALSE		lekaʁpɛt	3	DET{The}	N{Carpet.g=F num=PL}*
les	catherinettes	DET	N	FALSE	FALSE		lekatʁinɛt	2	DET{The}	N{Catherinette.g=F num=PL}*
sept	centimètres	NUM	NC	FALSE	FALSE		sɛtsɑ̃timɛtʁ	2	NUM{Seven}	N{Centimeter.g=M num=PL}*
deux	centimètres	NUM	NC	FALSE	FALSE		døsɑ̃timɛtʁ	2	NUM{Two}	N{Centimeter.g=M num=PL}*
ses	certificats	DET	NC	FALSE	FALSE		sesɛʁtifika	2	DET{His}	N{Certificate.g=M num=PL}*
un	certificat	DET	NC	FALSE	FALSE		ɛ̃sɛʁtifika	3	DET{Ind}	N{Certificate.g=M num=SG}*
un	champion	DET	NC	FALSE	FALSE		ɛ̃ʃɑ̃pjɔ̃	12	DET{Ind}	N{Champion.g=M num=SG}*
la	chance	DET	NC	FALSE	FALSE		laʃɑ̃s	3	DET{The}	N{Chance.g=F num=SG}*
autres	enfants	ADJ	NC	TRUE	FALSE	z	otʁzɑ̃fɑ̃	1	ADJ{Other}	N{Child.g=M num=PL}*
petits	enfants	ADJ	NC	FALSE	FALSE		pətiɑ̃fɑ̃	2	ADJ{Small}	N{Child.g=M num=PL}*
des	enfants	DET	NC	FALSE	FALSE		deɑ̃fɑ̃	4	DET{Ind}	N{Child.g=M num=PL}*
des	enfants	DET	NC	TRUE	FALSE	z	dezɑ̃fɑ̃	2	DET{Ind}	N{Child.g=M num=PL}*
dix	enfants	NUM	NC	TRUE	FALSE	z	dizɑ̃fɑ̃	1	NUM{Ten}	N{Child.g=M num=PL}*
les	enfants	DET	NC	FALSE	FALSE		leɑ̃fɑ̃	6	DET{The}	N{Child.g=M num=PL}*
les	enfants	DET	NC	TRUE	FALSE	z	lezɑ̃fɑ̃	2	DET{The}	N{Child.g=M num=PL}*
ses	enfants	DET	NC	FALSE	FALSE		seɑ̃fɑ̃	3	DET{His}	N{Child.g=M num=PL}*
trois	enfants	DET	NC	TRUE	FALSE	z	tʁwazɑ̃fɑ̃	1	NUM{Three}	N{Child.g=M num=PL}*
vos	enfants	DET	NC	FALSE	FALSE		voɑ̃fɑ̃	3	DET{Your}	N{Child.g=M num=PL}*
un	enfant	DET	NC	FALSE	FALSE		ɛ̃ɑ̃fɑ̃	5	DET{Ind}	N{Child.g=M num=SG}*
un	enfant	DET	NC	TRUE	TRUE	nVN	ɛ̃nɑ̃fɑ̃	1	DET{Ind}	N{Child.g=M num=SG}*
le	choix	DET	NC	FALSE	FALSE		ləʃwa	3	DET{The}	N{Choice.g=M num=SG}*
le	cinéma	DET	NC	FALSE	FALSE		ləsinema	2	DET{The}	N{Cinema.g=M num=SG}*
la	cité	DET	NC	FALSE	FALSE		lasite	2	DET{The}	N{City.g=F num=SG}*
la	cléta	DET	NPP	FALSE	FALSE		lakleta	4	DET{The}	N{Cleta.g=F num=SG}*
cette	commune	DET	NC	FALSE	FALSE		sɛtkɔmyn	22	DET{This}	N{Commune.g=F num=SG}*
les	concours	DET	NC	FALSE	FALSE		lekɔ̃kuʁ	2	DET{The}	N{Competition.g=M num=PL}*
le	concours	DET	NC	FALSE	FALSE		ləkɔ̃kuʁ	2	DET{The}	N{Competition.g=M num=SG}*
des	ordinateurs	DET	NC	TRUE	FALSE	z	dezɔʁdinatœʁ	1	DET{Ind}	N{Computer.g=M num=PL}*
les	ordinateurs	DET	NC	TRUE	FALSE	z	lezɔʁdinatœʁ	1	DET{The}	N{Computer.g=M num=PL}*
le	coin	DET	NC	FALSE	FALSE		ləkwɛ̃	22	DET{The}	N{Corner.g=M num=SG}*
la	cote	DET	NC	FALSE	FALSE		lakɔt	22	DET{The}	N{Cote.g=F num=SG}*
des	pays	DET	NC	FALSE	FALSE		depei	2	DET{Ind}	N{Country.g=M num=PL}*
la	campagne	DET	NC	FALSE	FALSE		lakɑ̃paɲ	3	DET{The}	N{Countryside.g=F num=SG}*
plusieurs	carrières	DET	NC	FALSE	FALSE		plyzjœʁkaʁjɛʁ	2	DET{Multiple}	N{Course.g=F num=PL}*
des	cours	DET	NC	FALSE	FALSE		dekuʁ	2	DET{Ind}	N{Court.g=F num=PL}*
des	barrages	DET	NC	FALSE	FALSE		debaʁaʒ	21	DET{Ind}	N{Dam.g=M num=PL}*
la	danse	DET	NC	FALSE	FALSE		ladɑ̃s	2	DET{The}	N{Dance.g=F num=SG}*
douze	jours	NUM	NC	FALSE	FALSE		duzʒuʁ	2	NUM{Twelve}	N{Day.g=M num=PL}*
les	jours	DET	NC	FALSE	FALSE		leʒuʁ	3	DET{The}	N{Day.g=M num=PL}*
un	jour	DET	NC	FALSE	FALSE		ɛ̃ʒuʁ	9	DET{Ind}	N{Day.g=M num=SG}*
la	journée	DET	NC	FALSE	FALSE		laʒuʁne	5	DET{The}	N{Day2.g=F num=SG}*
une	journée	DET	NC	FALSE	FALSE		ynʒuʁne	17	DET{Ind}	N{Day2.g=F num=SG}*
mes	envies	DET	NC	TRUE	FALSE	z	mezɑ̃vi	1	DET{My}	N{Desire.g=F num=PL}*
un	bureau	DET	NC	FALSE	FALSE		ɛ̃byʁo	3	DET{Ind}	N{Desk.g=M num=SG}*
des	dictées	DET	NC	FALSE	FALSE		dedikte	3	DET{Ind}	N{Dication.g=F num=PL}*
la	direction	DET	NC	FALSE	FALSE		ladiʁɛksjɔ̃	2	DET{The}	N{Direction.g=F num=SG}*
la	directrice	DET	NC	FALSE	FALSE		ladiʁɛktʁis	2	DET{The}	N{Director.g=F num=SG}*
ce	chien	DET	NC	FALSE	FALSE		səʃjɛ̃	2	DET{This}	N{Dog.g=M num=SG}*
les	portes	DET	NC	FALSE	FALSE		lepɔʁt	2	DET{The}	N{Door.g=F num=PL}*
une	porte	DET	NC	FALSE	FALSE		ynpɔʁt	2	DET{Ind}	N{Door.g=F num=SG}*
un	dessin	DET	NC	FALSE	FALSE		ɛ̃desɛ̃	3	DET{Ind}	N{Drawing.g=M num=SG}*
moyen	orient	ADJ	N	TRUE	FALSE	nV0	mwajɛnV0ɔʁjɑ̃	1	ADJ{Middle}	N{East.g=M num=SG}*
la	peine	DET	NC	FALSE	FALSE		lapɛn	3	DET{The}	N{Effort.g=F num=SG}*
un	oeuf	DET	NC	TRUE	TRUE	nVN	ɛ̃nɔœf	2	DET{Ind}	N{Egg.g=M num=SG}*
les	élections	DET	NC	TRUE	FALSE	z	lezelɛksjɔ̃	17	DET{The}	N{Election.g=F num=PL}*
la	fin	DET	NC	FALSE	FALSE		lafɛ̃	7	DET{The}	N{End.g=F num=SG}*
ton	entrée	DET	NC	TRUE	FALSE	n	tɔnɑ̃tʁe	1	DET{Thy}	N{entrance.g=F num=SG}*
le	milieu	DET	NC	FALSE	FALSE		ləmiljø	2	DET{The}	N{Environment.g=M num=SG}*
cette	époque	DET	NC	FALSE	FALSE		sɛtepɔk	6	DET{This}	N{Epoch.g=F num=SG}*
un	ergothérapeute	DET	NC	TRUE	FALSE	n	ɛ̃nɛʁɡɔteʁapøt	1	DET{Ind}	N{Ergotherapist.g=M num=SG}*
petites	escapades	ADJ	NC	TRUE	FALSE	z	pətitzɛskapad	1	ADJ{Small}	N{Escapade.g=F num=PL}*
ce	soir	DET	NC	FALSE	FALSE		səswaʁ	2	DET{This}	N{Evening.g=M num=SG}*
le	soir	DET	NC	FALSE	FALSE		ləswaʁ	5	DET{The}	N{Evening.g=M num=SG}*
du	mal	DET	NC	FALSE	FALSE		dymal	3	DET{Of-The}	N{Evil.g=M num=SG}*
bon	exemple	ADJ	NC	TRUE	FALSE	nVO	bɔnVOɛɡzɑ̃pl	1	ADJ{Good}	N{Example.g=M num=SG}*
une	expérience	DET	NC	FALSE	FALSE		ynɛkspeʁjɑ̃s	2	DET{Ind}	N{Experience.g=F num=SG}*
une	explosion	DET	NC	FALSE	FALSE		ynɛksplozjɔ̃	10	DET{Ind}	N{Explosion.g=F num=SG}*
le	fait	DET	NC	FALSE	FALSE		ləfɛ	4	DET{The}	N{Fact.g=M num=SG}*
la	fac	DET	N	FALSE	FALSE		lafak	2	DET{The}	N{Faculty.g=F num=SG}*
la	famille	DET	NC	FALSE	FALSE		lafamij	11	DET{The}	N{Family.g=F num=SG}*
une	famille	DET	NC	FALSE	FALSE		ynfamij	3	DET{Ind}	N{Family.g=F num=SG}*
votre	famille	DET	NC	FALSE	FALSE		vɔtʁfamij	3	DET{Your}	N{Family.g=F num=SG}*
quelques	fanatiques	DET	NC	FALSE	FALSE		kɛlkfanatik	22	DET{Some}	N{Fanatic.g=M num=SG}*
les	jeunes	DET	NC	FALSE	FALSE		leʒœn	5	DET{The}	N{Fast.g=M num=PL}*
un	jeûne	DET	NC	FALSE	FALSE		ɛ̃ʒøn	23	DET{Ind}	N{Fast.g=M num=SG}*
le	père	DET	NC	FALSE	FALSE		ləpɛʁ	5	DET{The}	N{Father.g=M num=SG}*
mon	père	DET	NC	FALSE	FALSE		mɔ̃pɛʁ	20	DET{My}	N{Father.g=M num=SG}*
mon	beau-père	DET	NC	FALSE	FALSE		mɔ̃bopɛʁ	3	DET{My}	N{FatherInLaw.g=M num=SG}*
le	sentiment	DET	NC	FALSE	FALSE		ləsɑ̃timɑ̃	21	DET{The}	N{Feeling.g=M num=SG}*
la	ferme	DET	NC	FALSE	FALSE		lafɛʁm	2	DET{The}	N{Ferme.g=F num=SG}*
deux	étages	NUM	NC	TRUE	FALSE	z	døzetaʒ	1	NUM{Two}	N{Floor.g=M num=PL}*
des	étrangers	DET	NC	TRUE	FALSE	z	dezetʁɑ̃ʒe	1	DET{Ind}	N{Foreigner.g=M num=PL}*
une	formation	DET	NC	FALSE	FALSE		ynfɔʁmasjɔ̃	2	DET{Ind}	N{Formation.g=F num=SG}*
cents	francs	NUM	NC	FALSE	FALSE		sɑ̃fʁɑ̃	3	NUM{Hundred}	N{Franc.g=M num=PL}*
trente	francs	NUM	NC	FALSE	FALSE		tʁɑ̃tfʁɑ̃	2	NUM{Thirty}	N{Franc.g=M num=PL}*
la	france	DET	NPP	FALSE	FALSE		lafʁɑ̃s	4	DET{The}	N{France.g=F num=SG}*
des	français	DET	NC	FALSE	FALSE		defʁɑ̃sɛ	2	DET{Ind}	N{French.g=M num=PL}*
les	français	DET	NC	FALSE	FALSE		lefʁɑ̃sɛ	3	DET{The}	N{French.g=M num=PL}*
le	français	DET	NC	FALSE	FALSE		ləfʁɑ̃sɛ	5	DET{The}	N{French.g=M num=SG}*
une	amie	DET	NC	FALSE	FALSE		ynami	2	DET{Ind}	N{Friend.g=F num=SG}*
les	amis	DET	NC	TRUE	FALSE	z	lezami	1	DET{The}	N{Friend.g=M num=PL}*
mes	amis	DET	NC	TRUE	FALSE	z	mezami	1	DET{My}	N{Friend.g=M num=PL}*
un	ami	DET	NC	TRUE	TRUE	nVN	ɛ̃nami	1	DET{Ind}	N{Friend.g=M num=SG}*
un	fruit	DET	NC	FALSE	FALSE		ɛ̃fʁɥi	2	DET{Ind}	N{Fruit.g=M num=SG}*
les	gamins	DET	NC	FALSE	FALSE		leɡamɛ̃	2	DET{The}	N{Gamin.g=M num=PL}*
le	jardin	DET	NC	FALSE	FALSE		ləʒaʁdɛ̃	4	DET{The}	N{Garden.g=M num=SG}*
les	genres	DET	NC	FALSE	FALSE		leʒɑ̃ʁ	2	DET{The}	N{Genre.g=F num=PL}*
les	allemands	DET	NC	FALSE	FALSE		lealmɑ̃	2	DET{The}	N{German.g=M num=PL}*
les	allemands	DET	NC	TRUE	FALSE	z	lezalmɑ̃	1	DET{The}	N{German.g=M num=PL}*
belle	fille	ADJ	NC	FALSE	FALSE		bɛlfij	6	ADJ{Beautiful}	N{Girl.g=F num=SG}*
petite	fille	ADJ	NC	FALSE	FALSE		pətitfij	2	ADJ{Small}	N{Girl.g=F num=SG}*
ma	fille	DET	NC	FALSE	FALSE		mafij	10	DET{My}	N{Girl.g=F num=SG}*
une	fille	DET	NC	FALSE	FALSE		ynfij	2	DET{Ind}	N{Girl.g=F num=SG}*
une	copine	DET	NC	FALSE	FALSE		ynkɔpin	3	DET{Ind}	N{Girlfriend.g=F num=SG}*
le	but	DET	NC	FALSE	FALSE		ləby	2	DET{The}	N{Goal.g=M num=SG}*
le	gouvernement	DET	NC	FALSE	FALSE		ləɡuvɛʁnəmɑ̃	10	DET{The}	N{Government.g=M num=SG}*
mes	grands-parents	DET	NC	FALSE	FALSE		meɡʁɑ̃dspaʁɑ̃	3	DET{My}	N{Grandparent.g=M num=SG}*
un	groupe	DET	NC	FALSE	FALSE		ɛ̃ɡʁup	2	DET{Ind}	N{Group.g=M num=SG}*
un	mec	DET	NC	FALSE	FALSE		ɛ̃mɛk	2	DET{Ind}	N{Guy.g=M num=SG}*
le	hasard	DET	NC	FALSE	FALSE		ləazaʁ	24	DET{The}	N{Hasard.g=M num=SG}*
une	baffe	DET	NC	FALSE	FALSE		ynbaf	2	DET{Ind}	N{Hit.g=M num=SG}*
grand	honneur	ADJ	NC	TRUE	FALSE	t	ɡʁɑ̃tɔnœʁ	14	ADJ{Big}	N{Honor.g=M num=SG}*
grand	honneur	ADJ	NC	TRUE	FALSE	d	ɡʁɑ̃dɔnœʁ	1	ADJ{Big}	N{Honor.g=M num=SG}*
dix	heures	NUM	NC	TRUE	FALSE	z	dizœʁ	1	NUM{Ten}	N{Hour.g=F num=PL}*
trois	heures	DET	NC	TRUE	FALSE	z	tʁwazœʁ	1	NUM{Three}	N{Hour.g=F num=PL}*
une	heure	DET	NC	FALSE	FALSE		ynœʁ	3	DET{Ind}	N{Hour.g=F num=SG}*
des	maisons	DET	NC	FALSE	FALSE		demɛzɔ̃	2	DET{Ind}	N{House.g=M num=PL}*
la	maison	DET	NC	FALSE	FALSE		lamɛzɔ̃	6	DET{The}	N{House.g=M num=SG}*
ma	maison	DET	NC	FALSE	FALSE		mamɛzɔ̃	2	DET{My}	N{House.g=M num=SG}*
une	maison	DET	NC	FALSE	FALSE		ynmɛzɔ̃	6	DET{Ind}	N{House.g=M num=SG}*
mon	mari	DET	NC	FALSE	FALSE		mɔ̃maʁi	3	DET{My}	N{Husband.g=M num=SG}*
ses	idées	DET	NC	TRUE	FALSE	z	sezide	1	DET{His}	N{Idea.g=F num=PL}*
une	impasse	DET	N	FALSE	FALSE		ynɛ̃pas	18	DET{Ind}	N{Impasse.g=F num=SG}*
cents	habitants	NUM	NC	TRUE	FALSE	z	sɑ̃zabitɑ̃	1	NUM{Hundred}	N{Inhabitant.g=M num=PL}*
des	invitations	DET	NC	TRUE	FALSE	z	dezɛ̃vitasjɔ̃	1	DET{Ind}	N{Invitation.g=F num=PL}*
un	boulot	DET	NC	FALSE	FALSE		ɛ̃bulo	2	DET{Ind}	N{Job.g=M num=SG}*
petit	bout	ADJ	NC	FALSE	FALSE		pətibu	3	ADJ{Small}	N{Job.g=M num=SG}*
les	gosses	DET	NC	FALSE	FALSE		leɡɔs	2	DET{The}	N{Kid.g=M num=PL}*
notre	kinou	DET	NPP	FALSE	FALSE		nɔtʁkinu	2	DET{Our}	N{Kinou.g=M num=SG}*
les	langues	DET	NC	FALSE	FALSE		lelɑ̃ɡ	5	DET{The}	N{Language.g=F num=PL}*
la	langue	DET	NC	FALSE	FALSE		lalɑ̃ɡ	10	DET{The}	N{Language.g=F num=SG}*
une	langue	DET	NC	FALSE	FALSE		ynlɑ̃ɡ	2	DET{Ind}	N{Language.g=F num=SG}*
le	cuir	DET	NC	FALSE	FALSE		ləkɥiʁ	2	DET{The}	N{Leather.g=M num=SG}*
bon	niveau	ADJ	NC	FALSE	FALSE		bɔ̃nivo	3	ADJ{Good}	N{Level.g=M num=SG}*
certain	niveau	ADJ	NC	FALSE	FALSE		sɛʁtɛ̃nivo	2	ADJ{Certain}	N{Level.g=M num=SG}*
même	niveau	ADJ	NC	FALSE	FALSE		mɛmnivo	2	ADJ{Same}	N{Level.g=M num=SG}*
la	libération	DET	NC	FALSE	FALSE		lalibeʁasjɔ̃	2	DET{The}	N{Liberation.g=F num=SG}*
une	licence	DET	NC	FALSE	FALSE		ynlisɑ̃s	2	DET{Ind}	N{Licence.g=F num=SG}*
la	vie	DET	NC	FALSE	FALSE		lavi	6	DET{The}	N{Life.g=F num=SG}*
ma	vie	DET	NC	FALSE	FALSE		mavi	2	DET{My}	N{Life.g=F num=SG}*
une	vie	DET	NC	FALSE	FALSE		ynvi	2	DET{Ind}	N{Life.g=F num=SG}*
la	limite	DET	NC	FALSE	FALSE		lalimit	2	DET{The}	N{Limit.g=F num=SG}*
un	lockoute	DET	NC	FALSE	FALSE		ɛ̃lɔkut	2	DET{Ind}	N{Lockoute.g=M num=SG}*
le	seigneur	DET	N	FALSE	FALSE		ləsɛɲœʁ	2	DET{The}	N{Lord.g=M num=SG}*
petit	déjeuner	ADJ	NC	FALSE	FALSE		pətideʒœne	2	ADJ{Small}	N{Lunch.g=M num=SG}*
la	machine	DET	NC	FALSE	FALSE		lamaʃin	2	DET{The}	N{Machine.g=F num=SG}*
la	plupart	DET	NC	FALSE	FALSE		laplypaʁ	5	DET{The}	N{Majority.g=F num=SG}*
les	hommes	DET	NC	TRUE	FALSE	z	lezɔm	1	DET{The}	N{Man.g=M num=PL}*
jeune	homme	ADJ	NC	FALSE	FALSE		ʒœnɔm	3	ADJ{Young}	N{Man.g=M num=SG}*
toutes	façons	ADJ	NC	FALSE	FALSE		tutfasɔ̃	2	ADJ{All}	N{Manner.g=F num=PL}*
même	façon	ADJ	NC	FALSE	FALSE		mɛmfasɔ̃	3	ADJ{Same}	N{Manner.g=F num=SG}*
toute	façon	DET	NC	FALSE	FALSE		tutfasɔ̃	3	DET{All}	N{Manner.g=F num=SG}*
notre	mariage	DET	NC	FALSE	FALSE		nɔtʁmaʁjaʒ	2	DET{Our}	N{Marriage.g=M num=SG}*
le	maire	DET	NC	FALSE	FALSE		ləmɛʁ	22	DET{The}	N{Mayor.g=M num=SG}*
la	moyenne	DET	NC	FALSE	FALSE		lamwajɛn	3	DET{The}	N{Mean.g=F num=SG}*
les	moyens	DET	NC	FALSE	FALSE		lemwajɛ̃	3	DET{The}	N{Mean.g=M num=PL}*
jeune	membre	ADJ	NC	FALSE	FALSE		ʒœnmɑ̃bʁ	20	ADJ{Young}	N{Member.g=M num=SG}*
un	membre	DET	NC	FALSE	FALSE		ɛ̃mɑ̃bʁ	2	DET{Ind}	N{Member.g=M num=SG}*
des	souvenirs	DET	NC	FALSE	FALSE		desuvəniʁ	2	DET{Ind}	N{Memory.g=M num=PL}*
le	métro	DET	NC	FALSE	FALSE		ləmetʁo	7	DET{The}	N{Metro.g=M num=SG}*
le	minimum	DET	NC	FALSE	FALSE		ləminimɔm	2	DET{The}	N{Minimum.g=M num=SG}*
premier	ministre	ADJ	NC	FALSE	FALSE		pʁəmjeministʁ	92	ADJ{First}	N{Minister.g=M num=SG}*
la	misère	DET	NC	FALSE	FALSE		lamizɛʁ	2	DET{The}	N{Misery.g=F num=SG}*
ce	moment	DET	NC	FALSE	FALSE		səmɔmɑ̃	11	DET{This}	N{Moment.g=M num=SG}*
un	moment	DET	NC	FALSE	FALSE		ɛ̃mɔmɑ̃	9	DET{Ind}	N{Moment.g=M num=SG}*
six	mois	ADJ	NC	FALSE	FALSE		sismwa	2	NUM{Six}	N{Month.g=M num=PL}*
deux	mois	NUM	NC	FALSE	FALSE		dømwa	2	NUM{Two}	N{Month.g=M num=PL}*
huit	mois	NUM	NC	FALSE	FALSE		ɥitmwa	2	NUM{Eight}	N{Month.g=M num=PL}*
six	mois	NUM	NC	FALSE	FALSE		sismwa	2	NUM{Six}	N{Month.g=M num=PL}*
trois	mois	DET	NC	FALSE	FALSE		tʁwamwa	6	NUM{Three}	N{Month.g=M num=PL}*
